[2014-03-23 11:29:09,815] in file: Database.py, module: Database at line 36 in __init__() | INFO | Connection succesful to database
[2014-03-23 11:29:09,816] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : SELECT * FROM CriminalLocation;
[2014-03-23 11:29:09,817] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: SELECT * FROM CriminalLocation;
[2014-03-23 11:29:09,933] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (45.3571195,25.5397671,'Strada Furnica','Prahova','Sinaia','Romania');
[2014-03-23 11:29:09,934] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (45.3571195,25.5397671,'Strada Furnica','Prahova','Sinaia','Romania');
[2014-03-23 11:29:09,966] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : SELECT * FROM CriminalLocation;
[2014-03-23 11:29:09,967] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: SELECT * FROM CriminalLocation;
[2014-03-23 11:29:10,114] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (44.417126,26.110211,'Strada Petre Liciu','Sector 4','Bucharest','Romania');
[2014-03-23 11:29:10,115] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (44.417126,26.110211,'Strada Petre Liciu','Sector 4','Bucharest','Romania');
[2014-03-23 11:29:10,131] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : SELECT * FROM CriminalLocation;
[2014-03-23 11:29:10,132] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: SELECT * FROM CriminalLocation;
[2014-03-23 11:29:10,245] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (46.6023,22.98421,'DN1R','Cluj County','Belis','Romania');
[2014-03-23 11:29:10,247] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (46.6023,22.98421,'DN1R','Cluj County','Belis','Romania');
[2014-03-23 11:29:10,340] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : SELECT * FROM CriminalLocation;
[2014-03-23 11:29:10,341] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: SELECT * FROM CriminalLocation;
[2014-03-23 11:29:10,491] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (44.402913,26.136045,'Splaiul Unirii','Sector 4','Bucharest','Romania');
[2014-03-23 11:29:10,493] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (44.402913,26.136045,'Splaiul Unirii','Sector 4','Bucharest','Romania');
[2014-03-23 11:29:10,527] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : SELECT * FROM CriminalLocation;
[2014-03-23 11:29:10,528] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: SELECT * FROM CriminalLocation;
[2014-03-23 11:29:10,636] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (45.18536,29.655238,'DC2','Judetul Tulcea','Sulina','Romania');
[2014-03-23 11:29:10,638] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (45.18536,29.655238,'DC2','Judetul Tulcea','Sulina','Romania');
[2014-03-23 11:29:10,670] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : SELECT * FROM CriminalLocation;
[2014-03-23 11:29:10,672] in file: Database.py, module: Database at line 53 in execute_sql() | DEBUG | SQL query executed was: SELECT * FROM CriminalLocation;
[2014-03-23 11:29:10,795] in file: Database.py, module: Database at line 49 in execute_sql() | DEBUG | SQL query was : INSERT INTO VictimLocation (lat,lng,route,         sublocality, city, country) values (44.057735,28.596516,'Strada Ion Tuculescu','Judetul Constanta','Techirghiol','Romania');
